Domain,Have_IP,Lengthy_URL,Domain_http,TinyURL,Prefix/Suffix,Label,@,?,-,=,.,#,%,+,$,!,*,",",//
thenextweb.com,0,1,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,1
extratorrent.cc,0,1,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,1
genius.com,0,1,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,1
thenextweb.com,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1
kienthuc.net.vn,0,1,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,1
sourceforge.net,0,1,0,0,0,0,0,1,1,2,1,0,2,5,0,0,0,0,1
nypost.com,0,1,0,1,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1
ap.org,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1
indianexpress.com,0,1,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,1
extratorrent.cc,0,1,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,1
correios.com.br,0,1,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,1
web.de,0,1,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,1
noticias.uol.com.br,0,1,0,0,0,0,0,1,2,1,4,0,0,0,0,0,0,0,1
bdnews24.com,0,1,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,1
kenh14.vn,0,1,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,1
codecanyon.net,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1
tunein.com,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1
nguyentandung.org,0,1,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,1
kickass.to,0,1,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,1
weathernews.jp,0,1,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,1
atwiki.jp,0,1,0,0,0,0,0,0,0,0,1,0,22,0,0,0,0,0,1
plarium.com,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1
chaturbate.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
babal.net,0,1,0,0,0,0,0,0,12,0,1,0,120,0,0,0,0,0,1
sberbank.ru,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1
torcache.net,0,1,0,0,0,0,0,1,0,1,14,0,0,0,0,0,0,0,1
torcache.net,0,1,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,1
pikabu.ru,0,1,0,0,0,0,0,0,0,0,1,0,23,0,0,0,0,0,1
mirtesen.ru,0,1,0,0,0,0,0,1,0,3,2,0,6,0,0,0,0,0,1
mirtesen.ru,0,1,0,0,0,0,0,1,1,3,3,0,7,0,0,0,0,0,1
distractify.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
jalopnik.com,0,1,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,1
techcrunch.com,0,1,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,1
twitter.com,0,1,0,0,0,0,0,1,1,1,2,0,98,5,0,0,0,0,1
torcache.net,0,1,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,1
thenextweb.com,0,1,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,1
arstechnica.com,0,1,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,1
tunein.com,0,1,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,1
torrentdn.com,0,1,0,0,0,0,0,1,0,4,2,0,6,0,0,0,0,0,1
searchengineland.com,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1
nesn.com,0,1,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,1
paytm.com,0,1,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,1
torcache.net,0,1,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1
metro.co.uk,0,1,0,0,0,0,0,0,18,0,2,0,0,0,0,0,0,0,1
censor.net.ua,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
depositphotos.com,0,1,0,0,0,0,0,1,6,1,3,0,2,0,0,0,0,0,1
thenextweb.com,0,1,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,1
putlocker.is,0,1,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,1
tunein.com,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1
lifehacker.com,0,1,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,1
extratorrent.cc,0,1,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,1
mylust.com,0,1,0,1,0,0,0,0,10,0,1,0,0,0,0,0,0,0,1
buzzfil.net,0,1,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,1
censor.net.ua,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
ap.org,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1
akhbarelyom.com,0,1,0,0,0,0,0,0,2,0,2,0,20,0,0,0,0,0,1
sourceforge.net,0,1,0,0,0,0,0,1,1,2,1,0,4,6,0,0,0,0,1
kakaku.com,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1
jezebel.com,0,1,0,0,0,0,0,0,8,0,1,0,0,1,0,0,0,0,1
grantland.com,0,1,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,1
gov.uk,0,1,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,1
emgn.com,0,1,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,1
bdnews24.com,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1
web.de,0,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1
extratorrent.cc,0,1,0,0,0,0,0,0,3,0,2,0,1,6,0,0,0,0,1
torcache.net,0,1,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1
twitter.com,0,1,0,0,0,0,0,1,11,2,2,0,5,8,0,0,0,0,1
seekingalpha.com,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1
web.tv,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
indianexpress.com,0,1,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,1
web.de,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1
olx.co.id,0,1,0,1,0,0,0,0,4,0,2,0,0,0,0,0,0,0,1
mylust.com,0,1,0,1,0,0,0,0,11,0,1,0,0,0,0,0,0,0,1
babal.net,0,1,0,0,0,0,0,0,3,0,1,0,44,0,0,0,0,0,1
techcrunch.com,0,1,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,1
distractify.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
kakaku.com,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1
metro.co.uk,0,1,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,1
kienthuc.net.vn,0,1,0,0,0,0,0,0,17,0,3,0,0,0,0,0,0,0,1
web.de,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1
thenextweb.com,0,1,0,0,0,0,0,0,17,0,2,0,0,0,0,0,0,0,1
gov.uk,0,1,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,1
olx.ua,0,1,0,0,0,0,0,0,1,0,2,0,14,0,0,0,0,0,1
olx.pl,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1
babal.net,0,1,0,0,0,0,0,0,1,0,1,0,24,0,0,0,0,0,1
correios.com.br,0,1,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,1
myspace.com,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1
indianexpress.com,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1
web.de,0,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1
olx.in,0,1,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,1
squarespace.com,0,1,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,1
privatbank.ua,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1
distractify.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
tunein.com,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1
thenextweb.com,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1
torcache.net,0,1,0,0,0,0,0,1,0,1,10,0,0,0,0,0,0,0,1
distractify.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
extratorrent.cc,0,1,0,0,0,0,0,0,6,0,2,0,2,23,0,0,0,0,1
xhamster.com,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
perezhilton.com,0,1,0,0,0,0,0,1,11,1,1,0,0,0,0,0,0,0,1
comicbook.com,0,1,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,1
paytm.com,0,1,0,0,0,0,0,1,2,1,4,0,0,0,0,0,0,0,1
grantland.com,0,1,0,0,0,0,0,0,19,0,1,0,0,0,0,0,0,0,1
distractify.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
thenextweb.com,0,1,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,1
icicibank.com,0,1,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,1
deadspin.com,0,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1
udn.com,0,1,0,0,0,0,0,0,2,0,1,0,54,0,0,0,0,0,1
bestblackhatforum.com,0,1,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,1
quizlet.com,0,1,0,1,0,0,0,1,1,1,3,0,11,0,0,0,0,0,1
depositphotos.com,0,1,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,1
pitchfork.com,0,1,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,1
emgn.com,0,1,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,1
katproxy.com,0,1,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,1
elitedaily.com,0,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1
extratorrent.cc,0,1,0,0,0,0,0,0,2,0,2,0,2,8,0,0,0,0,1
pornsharing.com,0,1,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,1
thenextweb.com,0,1,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,1
distractify.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
atwiki.jp,0,1,0,0,0,0,0,0,0,0,1,0,22,0,0,0,0,0,1
codecanyon.net,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1
interpark.com,0,1,0,0,0,0,0,1,0,6,5,0,0,0,0,0,0,0,1
gtbank.com,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1
medium.com,0,1,0,0,0,0,1,1,4,1,1,0,0,0,0,0,0,0,1
torcache.net,0,1,0,0,0,0,0,1,0,1,13,0,0,0,0,0,0,0,1
correios.com.br,0,1,0,0,0,0,2,0,10,0,4,0,0,0,0,0,0,0,1
olx.pl,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1
distractify.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
twitter.com,0,1,0,0,0,0,0,1,1,1,2,0,89,5,0,0,0,0,1
distractify.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
depositphotos.com,0,1,0,0,0,0,0,1,0,12,2,0,0,0,0,0,0,0,1
interpark.com,0,1,0,0,0,0,0,1,0,6,5,0,0,0,0,0,0,0,1
zozo.jp,0,1,0,0,0,0,0,1,0,8,1,0,0,0,0,0,0,0,1
persianblog.ir,0,1,0,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,1
onedio.com,0,1,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,1
hollywoodlife.com,0,1,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,1
fortune.com,0,1,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,1
ringring.vn,0,1,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,1
nguyentandung.org,0,1,0,0,0,0,0,0,14,0,2,0,0,0,0,0,0,0,1
buzzfil.net,0,1,0,0,0,0,0,1,10,1,2,0,0,0,0,0,0,0,1
thenextweb.com,0,1,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,1
fanpage.gr,0,1,0,0,0,0,0,0,5,0,1,0,62,0,0,0,0,0,1
extratorrent.cc,0,1,0,0,0,0,0,0,2,0,2,0,4,9,0,0,0,0,1
mylust.com,0,1,0,1,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1
nguyentandung.org,0,1,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,1
babal.net,0,1,0,0,0,0,0,0,3,0,1,0,32,0,0,0,0,0,1
thechive.com,0,1,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,1
thenextweb.com,0,1,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,1
babal.net,0,1,0,0,0,0,0,0,4,0,1,0,38,0,0,0,0,0,1
pikabu.ru,0,1,0,0,0,0,0,0,0,0,1,0,33,0,0,0,0,0,1
variety.com,0,1,0,0,0,0,0,0,25,0,1,0,0,0,0,0,0,0,1
otomoto.pl,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1
elitedaily.com,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1
twitter.com,0,1,0,0,0,0,0,1,1,1,2,0,86,5,0,0,0,0,1
olx.ro,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1
fazenda.gov.br,0,1,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,1
bdnews24.com,0,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1
emgn.com,0,1,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,1
superuser.com,0,1,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,1
mic.com,0,1,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,1
olx.ro,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1
momoshop.com.tw,0,1,0,0,0,0,0,1,1,5,3,0,0,0,0,0,0,0,1
variety.com,0,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1
torcache.net,0,1,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,0,1
grantland.com,0,1,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,1
1337x.to,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1
thenextweb.com,0,1,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,1
kotaku.com,0,1,0,0,0,0,0,0,10,0,1,0,0,1,0,0,0,0,1
distractify.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
katproxy.com,0,1,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,1
stackoverflow.com,0,1,0,0,0,0,0,1,6,1,1,0,0,0,0,0,0,0,1
aljazeera.net,0,1,0,0,0,0,0,0,6,0,1,0,82,0,0,0,0,0,1
pikabu.ru,0,1,0,0,0,0,0,0,0,0,1,0,22,0,0,0,0,0,1
extratorrent.cc,0,1,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,1
qz.com,0,1,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,1
serverfault.com,0,1,0,1,0,0,0,1,11,1,1,0,0,0,0,0,0,0,1
distractify.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
twitter.com,0,1,0,0,0,0,0,1,1,1,2,0,71,5,0,0,0,0,1
depositphotos.com,0,1,0,0,0,0,0,0,1,0,2,0,14,0,0,0,0,0,1
ecnavi.jp,0,1,0,0,0,0,0,2,2,2,6,0,2,0,0,0,0,0,2
wpengine.com,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1
prezi.com,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1
mylust.com,0,1,0,1,0,0,0,0,12,0,1,0,0,0,0,0,0,0,1
aljazeera.net,0,1,0,0,0,0,0,0,6,0,1,0,72,0,0,0,0,0,1
katproxy.com,0,1,0,0,0,0,0,1,7,1,1,0,0,0,0,0,0,0,1
indianexpress.com,0,1,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,1
smallseotools.com,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1
mirtesen.ru,0,1,0,0,0,0,0,0,0,0,1,0,24,0,0,0,0,0,1
web.de,0,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1
mashable.com,0,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1
yourlust.com,0,1,0,1,0,0,0,0,10,0,2,0,0,0,0,0,0,0,1
serverfault.com,0,1,0,1,0,0,0,0,13,0,1,0,0,0,0,0,0,0,1
kakaku.com,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1
twitter.com,0,1,0,0,0,0,0,1,1,1,2,0,89,5,0,0,0,0,1
plarium.com,0,1,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,1
extratorrent.cc,0,1,0,0,0,0,0,0,2,0,5,0,5,10,0,0,0,0,1
mirtesen.ru,0,1,0,0,0,0,0,1,8,3,3,0,6,0,0,0,0,0,1
indianexpress.com,0,1,0,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,1
medium.com,0,1,0,0,0,0,1,1,5,1,1,0,0,0,0,0,0,0,1
patch.com,0,1,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,1
popupads.ir,0,1,0,0,0,0,0,1,3,1,1,0,30,0,0,0,0,0,1
grantland.com,0,1,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,1
twitter.com,0,1,0,0,0,0,0,1,1,1,2,0,44,5,0,0,0,0,1
haberler.com,0,1,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,1
techcrunch.com,0,1,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,1
buzzfil.net,0,1,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,1
twitter.com,0,1,0,0,0,0,0,1,1,1,2,0,44,5,0,0,0,0,1
olx.co.id,0,1,0,1,0,0,0,0,4,0,2,0,0,0,0,0,0,0,1
extratorrent.cc,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1
emgn.com,0,1,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,1
dantri.com.vn,0,1,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,1
1337x.to,0,1,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,1
atwiki.jp,0,1,0,0,0,0,0,1,0,2,3,0,4,0,0,0,0,0,1
emgn.com,0,1,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,1
wpengine.com,0,1,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,1
emgn.com,0,1,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,1
emgn.com,0,1,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,1
tinnhanh360.net,0,1,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,1
askubuntu.com,0,1,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,1
perezhilton.com,0,1,0,0,0,0,0,1,6,2,1,0,0,0,0,0,0,0,1
espn.go.com,0,1,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,1
web.de,0,1,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,1
sourceforge.net,0,1,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1
correios.com.br,0,1,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,1
searchengineland.com,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1
kotaku.com,0,1,0,0,0,0,0,0,8,0,1,0,0,1,0,0,0,0,1
mic.com,0,1,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,1
twitter.com,0,1,0,0,0,0,0,1,4,2,5,0,35,2,0,0,0,0,1
mic.com,0,1,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,1
hollywoodlife.com,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1
tinnhanh360.net,0,1,0,0,0,0,0,0,18,0,2,0,0,0,0,0,0,0,1
babal.net,0,1,0,0,0,0,0,0,4,0,1,0,32,0,0,0,0,0,1
interpark.com,0,1,0,0,0,0,0,1,1,4,2,0,31,0,0,0,0,0,1
